fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-30813,0001665160-22-002309,4,1,1,"At the close of the offering, the issuer closed on $98,686,40 and 12,085 number of securities.",3Q,1946,10000,10000,2022-11-28,2022-12-28,0,9868640.00,Common Stock,1000,10,Y,Other,1000000,2,58001,26200,58001,26200,0,0,0,0,679581,129077,0,0,0,0,450,450,-572813,-439088,"Milo Health, Inc.",Corporation,2017-05-01,New York,NY,10282,https://milorx.com,2022-08-29,StartEngine,NEW YORK,United States,StartEngine
020-28025,0001665160-21-000877,6,3,2,"Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $5,000,960.02 and 6,809,724 number of securities.",2Q,1248,9999.64,9999.64,2021-11-01,2021-11-12,0,5000960.02,Other,14084,0.71,Y,Other,1070000,15,3803179,209989,3676341,115980,0,0,3441068,209272,167700,0,90000,60000,90000,60000,0,0,-1162792,-707547,BOXABL INC.,Corporation,2017-12-02,Las Vegas,NV,89115,https://www.boxabl.com/,2021-05-03,StartEngine,NEVADA,United States,StartEngine
020-27789,0001532978-21-000001,4,1,1,"The Offering closed successfully on April 7, 2021, having received investment commitments of $5,000,000, although a final accounting has not taken place.",1Q,3462,25000,25000,2021-04-15,2021-04-15,0,5000000.00,Other,25000,1,Y,Other,1070000,1,4445980,3052290,3324634,2481407,0,0,4055945,2899347,0,0,4923912,2600950,3615674,2600950,0,0,288092,154849,"Gumroad, Inc.",Corporation,2011-09-22,San Francisco,CA,94104,http://gumroad.com,2021-03-15,Republic,CALIFORNIA,United States,Republic
020-32365,0001671941-23-000002,2,0,1,"Notice of completion of offering. Amount raised: $4,999,986.",2Q,3394,1000000,1000000,2023-06-15,2023-06-15,0,4999986.00,Other,1000000,1,Y,"First-come, first-served basis",5000000,153,39387358,59308488,10721628,24258513,7189526,10440538,2230005,208373,4625854,4855859,75516562,122793064,40392001,77129092,-765185,819179,-13710708,17118611,"Angel Studios, Inc.",Corporation,2014-02-07,PROVO,UT,84601,www.angel.com,2023-05-25,"VAS Portal, LLC",UTAH,United States,"VAS Portal, LLC"
020-29528,0001670254-22-000046,2,0,1,"The final number is $4,999,928.00 in investments.",1Q,934,50005.54,50005.54,2022-02-05,2022-02-05,0,4999928.00,Preferred Stock,4788,10.44393,Y,Other,4999989.72,35,10775278,645167,10678066,622174,0,0,1150286,56425,0,0,1490969,43776,988937,23155,0,0,-2079074,-596317,Levels Health Inc,Corporation,2019-06-25,New York,NY,10003,https://www.levelshealth.com/,2022-01-14,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-28655,0001722969-21-000007,3,1,1,"At the close of the offering, the issuer closed on $4,999,841.36 and issued 479,193 shares of Class A common stock.",3Q,1755,4999991.36,4999991.36,2021-09-30,2021-10-31,0,4999841.36,Common Stock,392464,12.74,Y,"First-come, first-served basis",4999991.36,33,243917,18452,48117,6063,3280,1000,0,18220,0,0,0,0,0,0,12633,3078,23968623,6728846,Atlis Motor Vehicles Inc,Corporation,2016-11-09,Mesa,AZ,95864,https://www.atlismotorvehicles.com/,2021-08-30,RIALTO MARKETS LLC,ARIZONA,United States,others
020-27399,0001665160-20-001595,9,3,2,"The issuer closed on $4,999,758.35 and 9,232,512 shares of Common Stock.",4Q,306,9999.91,9999.91,2021-04-30,2021-07-28,0,4999758.35,Common Stock,16949,0.59,Y,Other,1069999.81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wireless electrical Grid LAN, WiGL, Inc.",Corporation,2020-02-26,Hampton,VA,23666,https://www.Wi-GL.com/,2020-12-28,StartEngine,VIRGINIA,United States,StartEngine
020-30574,0001079973-22-000882,3,1,1,"This Form C-U shall serve as an update regarding the offering that ended January 5, 2022. The final accounting indicates that the total amount raised was $4,999,737.00",3Q,95,25000,25000,2023-07-22,2023-07-22,0,4999737.00,Common Stock,100000,0.25,Y,Other,5000000,3,4051,0,51,0,0,0,108096,0,0,0,0,0,0,0,0,0,-181045,0,Paladin Power Inc.,Corporation,2022-04-21,Perris,CA,92570,www.paladinpower.com,2022-07-25,Equifund Crowd Funding Portal Inc.,CALIFORNIA,United States,others
020-27801,0001670254-21-000325,7,3,1,"The final number is $4,999,613.00 in investments.",1Q,3210,1000000,1000000,2022-04-30,2021-06-04,0,4999613.00,Preferred Stock,485265,2.19862,Y,Other,1070000,26,1660582,1732977,1643140,1671204,0,0,79896,152067,0,0,4243105,2373669,214120,108827,0,0,-1122515,-957073,"Wefunder, Inc.",Other,2012-06-01,San Francisco,CA,94122,http://wefunder.com,2021-03-16,Honeycomb Portal LLC,CALIFORNIA,United States,Honeycomb Portal LLC
020-27814,0001671941-21-000002,5,1,1,"Notice of completion of offering. Amount raised: $4,999,272.40. The offering ended April 19, 2021.",1Q,2596,1000000,1000000,2021-04-19,2021-04-19,0,4999272.40,Common Stock,112360,8.9,Y,"First-come, first-served basis",1070000,58,14221880,4027992,11173426,1584455,211818,0,4255520,5901271,5253007,4840454,46942397,10754844,25542998,4143717,100,100,-7486,-1611154,"Angel Studios, Inc.",Corporation,2014-02-07,PROVO,UT,84601,watch.angelstudios.com,2021-03-18,"VAS Portal, LLC",UTAH,United States,"VAS Portal, LLC"
