stateOrCountry,stateOrCountryName,state (US),Country
AL,ALABAMA,ALABAMA,United States
AK,ALASKA,ALASKA,United States
AZ,ARIZONA,ARIZONA,United States
AR,ARKANSAS,ARKANSAS,United States
CA,CALIFORNIA,CALIFORNIA,United States
CO,COLORADO,COLORADO,United States
CT,CONNECTICUT,CONNECTICUT,United States
DE,DELAWARE,DELAWARE,United States
DC,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,United States
FL,FLORIDA,FLORIDA,United States
GA,GEORGIA,GEORGIA,United States
GU,GUAM,GUAM,United States
HI,HAWAII,HAWAII,United States
ID,IDAHO,IDAHO,United States
IL,ILLINOIS,ILLINOIS,United States
IN,INDIANA,INDIANA,United States
IA,IOWA,IOWA,United States
KS,KANSAS,KANSAS,United States
KY,KENTUCKY,KENTUCKY,United States
LA,LOUISIANA,LOUISIANA,United States
ME,MAINE,MAINE,United States
MD,MARYLAND,MARYLAND,United States
MA,MASSACHUSETTS,MASSACHUSETTS,United States
MI,MICHIGAN,MICHIGAN,United States
MN,MINNESOTA,MINNESOTA,United States
MS,MISSISSIPPI,MISSISSIPPI,United States
MO,MISSOURI,MISSOURI,United States
MT,MONTANA,MONTANA,United States
NE,NEBRASKA,NEBRASKA,United States
NV,NEVADA,NEVADA,United States
NH,NEW HAMPSHIRE,NEW HAMPSHIRE,United States
NJ,NEW JERSEY,NEW JERSEY,United States
NM,NEW MEXICO,NEW MEXICO,United States
NY,NEW YORK,NEW YORK,United States
NC,NORTH CAROLINA,NORTH CAROLINA,United States
ND,NORTH DAKOTA,NORTH DAKOTA,United States
OH,OHIO,OHIO,United States
OK,OKLAHOMA,OKLAHOMA,United States
OR,OREGON,OREGON,United States
PA,PENNSYLVANIA,PENNSYLVANIA,United States
RI,RHODE ISLAND,RHODE ISLAND,United States
SC,SOUTH CAROLINA,SOUTH CAROLINA,United States
SD,SOUTH DAKOTA,SOUTH DAKOTA,United States
TN,TENNESSEE,TENNESSEE,United States
TX,TEXAS,TEXAS,United States
UT,UTAH,UTAH,United States
VT,VERMONT,VERMONT,United States
VA,VIRGINIA,VIRGINIA,United States
WA,WASHINGTON,WASHINGTON,United States
WV,WEST VIRGINIA,WEST VIRGINIA,United States
WI,WISCONSIN,WISCONSIN,United States
WY,WYOMING,WYOMING,United States
PR,PUERTO RICO,PUERTO RICO,United States
VI,"VIRGIN ISLANDS, U.S.",VIRGIN ISLANDS,United States
A0,"ALBERTA, CANADA",,Canada
A1,"BRITISH COLUMBIA, CANADA",,Canada
Z4,CANADA (FEDERAL LEVEL),,Canada
A2,"MANITOBA, CANADA",,Canada
A3,"NEW BRUNSWICK, CANADA",,Canada
A4,"NEWFOUNDLAND, CANADA",,Canada
A5,"NOVA SCOTIA, CANADA",,Canada
A6,"ONTARIO, CANADA",,Canada
A7,"PRINCE EDWARD ISLAND, CANADA",,Canada
A8,"QUEBEC, CANADA",,Canada
A9,"SASKATCHEWAN, CANADA",,Canada
B0,"YUKON, CANADA",,Canada
B2,AFGHANISTAN,,AFGHANISTAN
Y6,ALAND ISLANDS,,ALAND ISLANDS
B3,ALBANIA,,ALBANIA
B4,ALGERIA,,ALGERIA
B5,AMERICAN SAMOA,,AMERICAN SAMOA
B6,ANDORRA,,ANDORRA
B7,ANGOLA,,ANGOLA
1A,ANGUILLA,,ANGUILLA
B8,ANTARCTICA,,ANTARCTICA
B9,ANTIGUA AND BARBUDA,,ANTIGUA AND BARBUDA
C1,ARGENTINA,,ARGENTINA
1B,ARMENIA,,ARMENIA
1C,ARUBA,,ARUBA
C3,AUSTRALIA,,AUSTRALIA
C4,AUSTRIA,,AUSTRIA
1D,AZERBAIJAN,,AZERBAIJAN
C5,BAHAMAS,,BAHAMAS
C6,BAHRAIN,,BAHRAIN
C7,BANGLADESH,,BANGLADESH
C8,BARBADOS,,BARBADOS
1F,BELARUS,,BELARUS
C9,BELGIUM,,BELGIUM
D1,BELIZE,,BELIZE
G6,BENIN,,BENIN
D0,BERMUDA,,BERMUDA
D2,BHUTAN,,BHUTAN
D3,BOLIVIA,,BOLIVIA
1E,BOSNIA AND HERZEGOVINA,,BOSNIA AND HERZEGOVINA
